IDx,IDy,Posix,Posiy,accuracy
2,8,-0.746,-0.69,
2,9,-0.742,-0.654,
2,10,-0.744,-0.614,
2,11,-0.742,-0.5640000000000001,
2,12,-0.742,-0.528,
2,13,-0.74,-0.476,
2,14,-0.738,-0.43,
2,15,-0.742,-0.386,
2,16,-0.744,-0.3259999999999999,
2,17,-0.744,-0.272,
2,18,-0.744,-0.2199999999999999,
2,19,-0.742,-0.158,
2,20,-0.742,-0.1039999999999999,
2,21,-0.742,-0.058,
2,22,-0.74,0.006,
2,23,-0.746,0.068,
2,24,-0.744,0.1100000000000001,
2,25,-0.744,0.1639999999999999,
2,26,-0.746,0.2199999999999999,
2,27,-0.744,0.268,
2,28,-0.746,0.328,
2,29,-0.746,0.3839999999999999,
2,30,-0.746,0.4239999999999999,
2,31,-0.746,0.484,
2,32,-0.746,0.524,
2,33,-0.748,0.5680000000000001,
2,34,-0.75,0.6200000000000001,
2,35,-0.752,0.6579999999999999,
2,36,-0.754,0.696,
2,37,-0.754,0.734,
2,38,-0.756,0.766,
2,39,-0.758,0.792,
2,40,-0.762,0.8260000000000001,
2,41,-0.764,0.8500000000000001,
2,42,-0.766,0.8700000000000001,
2,43,-0.7671691120463117,0.8930287637582361,
2,44,-0.7694024450622693,0.905535428647599,
3,0,-0.7392403981158946,-0.9072376588032671,
3,1,-0.7381611479716215,-0.8935671569758067,
3,2,-0.736,-0.87,
3,3,-0.734,-0.852,
3,4,-0.732,-0.8280000000000001,
3,5,-0.726,-0.792,
3,6,-0.726,-0.762,
3,7,-0.724,-0.734,
3,8,-0.722,-0.69,
3,9,-0.718,-0.654,
3,10,-0.718,-0.616,
3,11,-0.716,-0.5640000000000001,
3,12,-0.718,-0.53,
3,13,-0.716,-0.474,
3,14,-0.716,-0.43,
3,15,-0.714,-0.39,
3,16,-0.714,-0.3259999999999999,
3,17,-0.714,-0.268,
3,18,-0.714,-0.2219999999999999,
3,19,-0.714,-0.16,
3,20,-0.716,-0.1039999999999999,
3,21,-0.716,-0.056,
3,22,-0.714,0.008,
3,23,-0.716,0.066,
3,24,-0.716,0.1080000000000001,
3,25,-0.716,0.1659999999999999,
3,26,-0.718,0.2219999999999999,
3,27,-0.716,0.268,
3,28,-0.72,0.326,
3,29,-0.72,0.3819999999999999,
3,30,-0.718,0.4259999999999999,
3,31,-0.72,0.478,
3,32,-0.722,0.526,
3,33,-0.722,0.5680000000000001,
3,34,-0.724,0.6180000000000001,
3,35,-0.726,0.6579999999999999,
3,36,-0.726,0.694,
3,37,-0.73,0.734,
3,38,-0.732,0.77,
3,39,-0.734,0.792,
3,40,-0.736,0.8260000000000001,
3,41,-0.738,0.8500000000000001,
3,42,-0.742,0.8700000000000001,
3,43,-0.7434957820771606,0.8930287637582361,
3,44,-0.7443891152835436,0.9050887620444075,
4,0,-0.714,-0.908,
4,1,-0.7108201443167006,-0.8942866570719887,
4,2,-0.708,-0.868,
4,3,-0.706,-0.85,
4,4,-0.704,-0.8280000000000001,
4,5,-0.7,-0.796,
4,6,-0.696,-0.764,
4,7,-0.694,-0.736,
4,8,-0.692,-0.69,
4,9,-0.692,-0.654,
4,10,-0.69,-0.614,
4,11,-0.6859999999999999,-0.562,
4,12,-0.6859999999999999,-0.528,
4,13,-0.688,-0.478,
4,14,-0.6859999999999999,-0.424,
4,15,-0.6839999999999999,-0.384,
4,16,-0.6859999999999999,-0.3299999999999999,
4,17,-0.6839999999999999,-0.272,
4,18,-0.6839999999999999,-0.2179999999999999,
4,19,-0.6839999999999999,-0.162,
4,20,-0.6859999999999999,-0.1059999999999999,
4,21,-0.688,-0.056,
4,22,-0.69,0.008,
4,23,-0.69,0.066,
4,24,-0.69,0.1100000000000001,
4,25,-0.69,0.1619999999999999,
4,26,-0.69,0.2219999999999999,
4,27,-0.69,0.268,
4,28,-0.69,0.324,
4,29,-0.692,0.3819999999999999,
4,30,-0.692,0.4279999999999999,
4,31,-0.692,0.482,
4,32,-0.692,0.528,
4,33,-0.692,0.5660000000000001,
4,34,-0.696,0.6180000000000001,
4,35,-0.7,0.6579999999999999,
4,36,-0.7,0.696,
4,37,-0.702,0.734,
4,38,-0.706,0.768,
4,39,-0.706,0.792,
4,40,-0.71,0.8260000000000001,
4,41,-0.714,0.8500000000000001,
4,42,-0.716,0.8720000000000001,
4,43,-0.7162491192824773,0.892135430551853,
4,44,-0.7180357856952434,0.9050887620444075,
5,0,-0.6770036397961406,-0.9079571588994492,
5,1,-0.6759243896518674,-0.8946464071200798,
5,2,-0.6719999999999999,-0.87,
5,3,-0.6699999999999999,-0.85,
5,4,-0.6699999999999999,-0.83,
5,5,-0.6659999999999999,-0.796,
5,6,-0.6619999999999999,-0.764,
5,7,-0.6619999999999999,-0.738,
5,8,-0.6579999999999999,-0.692,
5,9,-0.6579999999999999,-0.6599999999999999,
5,10,-0.6579999999999999,-0.614,
5,11,-0.656,-0.5640000000000001,
5,12,-0.656,-0.53,
